,0
0,221.26161971830987
1,218.86989436619717
2,218.51719483568078
3,214.69360328638498
4,205.22042253521124
5,201.42535211267608
6,197.47494131455397
7,212.31901408450702
8,192.44213615023475
9,188.98280516431925
10,187.87095070422535
11,184.187382629108
12,178.28961267605635
13,178.29166666666666
14,175.57347417840373
15,174.6031690140845
16,169.63538732394366
17,164.66484741784038
18,167.96273474178403
19,157.6463615023474
20,154.29829812206572
21,155.18075117370893
22,154.86701877934274
23,153.76719483568075
24,151.3325704225352
25,147.55710093896715
26,148.36596244131454
27,142.90704225352115
28,135.94524647887323
29,135.06044600938966
30,140.05451877934274
31,153.86549295774648
32,133.43433098591547
33,127.88691314553989
34,132.22429577464789
35,123.95727699530516
36,117.10252347417841
37,115.15469483568074
38,130.1843896713615
39,118.2588028169014
40,117.5431338028169
41,111.40035211267606
42,119.14342723004694
43,116.42411971830987
44,114.7650234741784
45,113.23034037558685
46,110.19401408450703
47,113.9974765258216
48,110.99730046948355
49,113.25586854460094
50,115.50950704225352
51,120.65845070422533
52,121.33838028169012
53,111.30704225352113
54,117.8531690140845
55,118.92165492957747
56,128.12664319248827
57,123.74307511737089
58,115.52294600938967
59,127.11255868544602
60,110.85850938967134
61,108.08004694835682
62,107.06772300469483
63,109.72846244131456
64,102.48732394366199
65,103.62535211267604
66,104.3243544600939
67,107.58585680751175
68,102.77106807511737
69,94.48497652582161
70,93.27723004694838
71,94.45528169014085
72,91.51097417840374
73,90.37147887323944
74,89.01009389671363
75,89.14859154929576
76,90.90099765258215
77,139.01602112676056
78,130.93233568075115
79,90.88333333333334
80,90.02411971830986
81,82.73926056338027
82,80.72992957746479
83,80.08597417840376
84,80.91701877934273
85,79.42576291079813
86,82.31619718309858
87,82.46044600938967
88,82.45217136150235
89,87.50475352112679
90,115.55997652582158
91,99.7605633802817
92,88.05481220657276
93,82.42241784037557
94,82.34278169014085
95,79.23403755868544
96,77.44606807511735
97,81.2863262910798
98,84.12177230046949
99,74.90569248826291
