MRTime,Longitude,Latitude,RNCID_1,CellID_1,SignalLevel_1,RSSI_1,RNCID_2,CellID_2,SignalLevel_2,RSSI_2,RNCID_3,CellID_3,SignalLevel_3,RSSI_3,RNCID_4,CellID_4,SignalLevel_4,RSSI_4,RNCID_5,CellID_5,SignalLevel_5,RSSI_5,RNCID_6,CellID_6,SignalLevel_6,RSSI_6,RNCID_7,CellID_7,SignalLevel_7,RSSI_7,LinkNum,id_c5ombine,Longitude_eng,Latitude_eng,lo,la
1510000000000.0,121.2136839,31.29184524,6188,26051,4,-61,6188,27394,4,-81,6188.0,27377.0,4.0,-71.0,6188.0,27393.0,4.0,-85.0,6182.0,41155.0,3.0,-93.0,6188.0,26049.0,3.0,-91.0,-999.0,-999.0,-999.0,-999.0,6,32239,121.211928,31.288649,0.0017559000000062497,0.0031962400000011826
1510000000000.0,121.2136839,31.29184524,6188,26051,4,-57,6188,27394,4,-79,6188.0,27377.0,4.0,-71.0,6188.0,27393.0,4.0,-79.0,6182.0,41155.0,3.0,-93.0,6188.0,26049.0,3.0,-91.0,6182.0,44754.0,3.0,-91.0,7,32239,121.211928,31.288649,0.0017559000000062497,0.0031962400000011826
1510000000000.0,121.2136839,31.29184524,6188,26050,4,-77,6188,27394,4,-83,6182.0,41139.0,4.0,-83.0,6188.0,26049.0,4.0,-81.0,6188.0,27378.0,3.0,-91.0,6188.0,27377.0,4.0,-89.0,6188.0,26051.0,4.0,-77.0,7,32238,121.211928,31.288649,0.0017559000000062497,0.0031962400000011826
1510000000000.0,121.2136102,31.28926598,6188,26050,4,-79,6188,27394,4,-83,6182.0,41139.0,4.0,-83.0,6188.0,26049.0,4.0,-81.0,6188.0,27378.0,3.0,-91.0,6188.0,27377.0,4.0,-87.0,6188.0,26051.0,4.0,-77.0,7,32238,121.211928,31.288649,0.001682200000004741,0.0006169800000002112
1510000000000.0,121.2135751,31.28922812,6188,26051,4,-75,6188,27394,4,-81,6182.0,41139.0,4.0,-83.0,6188.0,26049.0,4.0,-83.0,6188.0,27378.0,3.0,-91.0,6188.0,27377.0,4.0,-87.0,-999.0,-999.0,-999.0,-999.0,6,32239,121.211928,31.288649,0.0016470999999995684,0.0005791200000011543
1510000000000.0,121.2135826,31.28926254,6188,26051,4,-75,6188,27394,4,-81,6182.0,41139.0,4.0,-83.0,6188.0,26049.0,4.0,-83.0,6188.0,27378.0,3.0,-91.0,6188.0,27377.0,4.0,-87.0,6188.0,26050.0,4.0,-79.0,7,32239,121.211928,31.288649,0.0016545999999948435,0.0006135399999998015
1510000000000.0,121.213605,31.28928476,6188,26051,4,-73,6188,27394,4,-83,6182.0,41139.0,4.0,-81.0,6188.0,26049.0,4.0,-81.0,6188.0,27378.0,3.0,-91.0,6188.0,27377.0,4.0,-85.0,6188.0,26050.0,4.0,-79.0,7,32239,121.211928,31.288649,0.0016770000000008167,0.0006357600000015395
1510000000000.0,121.2135956,31.28928753,6188,26051,4,-73,6188,27394,4,-83,6182.0,41139.0,4.0,-81.0,6188.0,26049.0,4.0,-81.0,6188.0,27378.0,4.0,-89.0,6188.0,27377.0,4.0,-83.0,6188.0,26050.0,4.0,-79.0,7,32239,121.211928,31.288649,0.0016676000000046542,0.000638529999999804
1510000000000.0,121.213622,31.28930046,6188,26051,4,-63,6188,27394,4,-81,6182.0,41139.0,4.0,-81.0,6188.0,26049.0,4.0,-81.0,6188.0,27378.0,4.0,-89.0,6188.0,27377.0,4.0,-83.0,6188.0,26050.0,4.0,-77.0,7,32239,121.211928,31.288649,0.0016940000000005284,0.0006514600000002702
1510000000000.0,121.2136259,31.28930881,6188,26051,4,-61,6188,27394,4,-79,6182.0,41139.0,4.0,-79.0,6188.0,26049.0,4.0,-79.0,6188.0,27378.0,4.0,-85.0,6188.0,27377.0,4.0,-79.0,6188.0,26050.0,4.0,-77.0,7,32239,121.211928,31.288649,0.0016978999999963662,0.0006598100000019258
1510000000000.0,121.2136234,31.28930383,6188,26051,4,-65,6188,27394,4,-79,6182.0,41139.0,4.0,-77.0,6188.0,26049.0,4.0,-79.0,6188.0,27378.0,4.0,-83.0,6188.0,27377.0,4.0,-77.0,6188.0,26050.0,4.0,-73.0,7,32239,121.211928,31.288649,0.001695400000002678,0.0006548300000019935
